GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADQ001,ADZ001,AD9001,AE6001,AE6002,AE6003
"G1201115","1850","Florida","120","St Lucie (old)","1115","St Lucie (old)","43","90",139,0,0,111,1,27
"G1201130","1850","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",2883,0,0,2095,4,784
"G1201290","1850","Florida","120","Wakulla","1290","Wakulla","43","1290",1955,0,0,1164,1,790
"G1201310","1850","Florida","120","Walton","1310","Walton","43","1310",1817,0,0,1481,0,336
"G1201330","1850","Florida","120","Washington","1330","Washington","43","1330",1950,0,0,1434,12,504
"G1300010","1850","Georgia","130","Appling","0010","Appling","44","10",2949,0,0,2520,25,404
"G1300070","1850","Georgia","130","Baker","0070","Baker","44","70",8120,0,0,4351,4,3765
"G1300090","1850","Georgia","130","Baldwin","0090","Baldwin","44","90",8148,0,0,3519,27,4602
"G1300210","1850","Georgia","130","Bibb","0210","Bibb","44","210",12699,5720,0,7009,53,5637
"G1300290","1850","Georgia","130","Bryan","0290","Bryan","44","290",3424,0,0,1164,15,2245
"G1300310","1850","Georgia","130","Bulloch","0310","Bulloch","44","310",4300,0,0,2840,0,1460
"G1300330","1850","Georgia","130","Burke","0330","Burke","44","330",16100,0,0,5118,150,10832
"G1300350","1850","Georgia","130","Butts","0350","Butts","44","350",6488,0,0,3680,3,2805
"G1300390","1850","Georgia","130","Camden","0390","Camden","44","390",6319,0,0,2069,4,4246
"G1300395","1850","Georgia","130","Campbell","0395","Campbell","44","410",7232,0,0,5718,7,1507
"G1300450","1850","Georgia","130","Carroll","0450","Carroll","44","450",9357,0,0,8252,4,1101
"G1300455","1850","Georgia","130","Cass","0455","Cass","44","150",13300,0,0,10271,21,3008
"G1300458","1850","Georgia","130","Cass-Cordon [multi-county reporting area]","0458","Cass-Cordon (multi-county reporting area)","44","455",,,,,,
"G1300510","1850","Georgia","130","Chatham","0510","Chatham","44","510",23901,15312,0,9152,731,14018
"G1300550","1850","Georgia","130","Chattooga","0550","Chattooga","44","550",6815,0,0,5131,4,1680
"G1300570","1850","Georgia","130","Cherokee","0570","Cherokee","44","570",12800,0,0,11630,13,1157
"G1300590","1850","Georgia","130","Clarke","0590","Clarke","44","590",11119,0,0,5513,17,5589
"G1300650","1850","Georgia","130","Clinch","0650","Clinch","44","650",637,0,0,506,2,129
"G1300670","1850","Georgia","130","Cobb","0670","Cobb","44","670",13843,0,0,11568,3,2272
"G1300730","1850","Georgia","130","Columbia","0730","Columbia","44","730",11961,0,0,3617,72,8272
"G1300770","1850","Georgia","130","Coweta","0770","Coweta","44","770",13635,0,0,8202,18,5415
"G1300790","1850","Georgia","130","Crawford","0790","Crawford","44","790",8984,0,0,4342,13,4629
"G1300830","1850","Georgia","130","Dade","0830","Dade","44","830",2680,0,0,2532,0,148
"G1300870","1850","Georgia","130","Decatur","0870","Decatur","44","870",8262,0,0,4618,5,3639
"G1300890","1850","Georgia","130","DeKalb","0890","De Kalb","44","890",14328,2572,0,11372,32,2924
"G1300930","1850","Georgia","130","Dooly","0930","Dooly","44","930",8361,0,0,5580,6,2775
"G1300990","1850","Georgia","130","Early","0990","Early","44","990",7246,0,0,3716,1,3529
"G1301030","1850","Georgia","130","Effingham","1030","Effingham","44","1030",3864,0,0,2007,9,1848
"G1301050","1850","Georgia","130","Elbert","1050","Elbert","44","1050",12959,0,0,6676,16,6267
"G1301070","1850","Georgia","130","Emanuel","1070","Emanuel","44","1070",4577,0,0,3591,24,962
"G1301130","1850","Georgia","130","Fayette","1130","Fayette","44","1130",8709,0,0,6741,3,1965
"G1301150","1850","Georgia","130","Floyd","1150","Floyd","44","1150",8205,0,0,5202,4,2999
"G1301170","1850","Georgia","130","Forsyth","1170","Forsyth","44","1170",8850,0,0,7812,11,1027
"G1301190","1850","Georgia","130","Franklin","1190","Franklin","44","1190",11513,0,0,9076,55,2382
"G1301230","1850","Georgia","130","Gilmer","1230","Gilmer","44","1230",8440,0,0,8236,4,200
"G1301270","1850","Georgia","130","Glynn","1270","Glynn","44","1270",4933,0,0,696,5,4232
"G1301290","1850","Georgia","130","Gordon","1290","Gordon","44","1290",5984,0,0,5156,0,828
"G1301330","1850","Georgia","130","Greene","1330","Greene","44","1330",13068,0,0,4744,58,8266
"G1301350","1850","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",11257,0,0,8952,11,2294
"G1301370","1850","Georgia","130","Habersham","1370","Habersham","44","1370",8895,0,0,7675,2,1218
"G1301390","1850","Georgia","130","Hall","1390","Hall","44","1390",8713,0,0,7370,7,1336
"G1301410","1850","Georgia","130","Hancock","1410","Hancock","44","1410",11578,0,0,4210,62,7306
"G1301450","1850","Georgia","130","Harris","1450","Harris","44","1450",14721,0,0,6709,30,7982
"G1301490","1850","Georgia","130","Heard","1490","Heard","44","1490",6923,0,0,4520,3,2400
"G1301510","1850","Georgia","130","Henry","1510","Henry","44","1510",14726,0,0,9742,15,4969
"G1301530","1850","Georgia","130","Houston","1530","Houston","44","1530",16450,0,0,6510,16,9924
"G1301550","1850","Georgia","130","Irwin","1550","Irwin","44","1550",3334,0,0,2883,1,450
"G1301570","1850","Georgia","130","Jackson","1570","Jackson","44","1570",9768,0,0,6808,19,2941
"G1301590","1850","Georgia","130","Jasper","1590","Jasper","44","1590",11486,0,0,4321,31,7134
"G1301630","1850","Georgia","130","Jefferson","1630","Jefferson","44","1630",9131,0,0,3717,47,5367
"G1301690","1850","Georgia","130","Jones","1690","Jones","44","1690",10224,0,0,3899,46,6279
"G1301750","1850","Georgia","130","Laurens","1750","Laurens","44","1750",6442,0,0,3459,9,2974
"G1301770","1850","Georgia","130","Lee","1770","Lee","44","1770",6660,0,0,3025,8,3627
"G1301790","1850","Georgia","130","Liberty","1790","Liberty","44","1790",7926,0,0,2002,16,5908
"G1301810","1850","Georgia","130","Lincoln","1810","Lincoln","44","1810",5998,0,0,2187,31,3780
"G1301850","1850","Georgia","130","Lowndes","1850","Lowndes","44","1850",7714,0,0,5339,20,2355
"G1301870","1850","Georgia","130","Lumpkin","1870","Lumpkin","44","1870",8955,0,0,7995,21,939
"G1301910","1850","Georgia","130","McIntosh","1910","Mcintosh","44","1910",6027,0,0,1326,72,4629
"G1301930","1850","Georgia","130","Macon","1930","Macon","44","1930",7052,0,0,4088,3,2961
"G1301950","1850","Georgia","130","Madison","1950","Madison","44","1950",5703,0,0,3763,7,1933
"G1301970","1850","Georgia","130","Marion","1970","Marion","44","1970",10280,0,0,6667,9,3604
"G1301990","1850","Georgia","130","Meriwether","1990","Meriwether","44","1990",16476,0,0,8481,2,7993
"G1302070","1850","Georgia","130","Monroe","2070","Monroe","44","2070",16985,0,0,6810,5,10170
"G1302090","1850","Georgia","130","Montgomery","2090","Montgomery","44","2090",2154,0,0,1541,0,613
"G1302110","1850","Georgia","130","Morgan","2110","Morgan","44","2110",10744,0,0,3634,16,7094
"G1302130","1850","Georgia","130","Murray","2130","Murray","44","2130",14433,0,0,12492,11,1930
"G1302150","1850","Georgia","130","Muscogee","2150","Muscogee","44","2150",18578,5942,0,10355,67,8156
"G1302170","1850","Georgia","130","Newton","2170","Newton","44","2170",13296,0,0,8077,32,5187
"G1302210","1850","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",12259,0,0,4382,3,7874
"G1302230","1850","Georgia","130","Paulding","2230","Paulding","44","2230",7039,0,0,5560,2,1477
"G1302310","1850","Georgia","130","Pike","2310","Pike","44","2310",14306,0,0,8686,62,5558
"G1302350","1850","Georgia","130","Pulaski","2350","Pulaski","44","2350",6627,0,0,3784,39,2804
"G1302370","1850","Georgia","130","Putnam","2370","Putnam","44","2370",10794,0,0,3300,26,7468
"G1302410","1850","Georgia","130","Rabun","2410","Rabun","44","2410",2448,0,0,2338,0,110
"G1302430","1850","Georgia","130","Randolph","2430","Randolph","44","2430",12868,0,0,7857,3,5008
"G1302450","1850","Georgia","130","Richmond","2450","Richmond","44","2450",16246,9448,0,8153,281,7812
"G1302510","1850","Georgia","130","Screven","2510","Screven","44","2510",6847,0,0,3173,1,3673
"G1302590","1850","Georgia","130","Stewart","2590","Stewart","44","2590",16027,0,0,8649,5,7373
"G1302610","1850","Georgia","130","Sumter","2610","Sumter","44","2610",10322,0,0,6469,18,3835
"G1302630","1850","Georgia","130","Talbot","2630","Talbot","44","2630",16534,0,0,7793,18,8723
"G1302650","1850","Georgia","130","Taliaferro","2650","Taliaferro","44","2650",5146,0,0,2051,51,3044
"G1302670","1850","Georgia","130","Tattnall","2670","Tattnall","44","2670",3227,0,0,2378,18,831
"G1302710","1850","Georgia","130","Telfair","2710","Telfair","44","2710",3026,0,0,2096,0,930
"G1302750","1850","Georgia","130","Thomas","2750","Thomas","44","2750",10103,0,0,4943,4,5156
"G1302850","1850","Georgia","130","Troup","2850","Troup","44","2850",16879,0,0,7791,40,9048
"G1302890","1850","Georgia","130","Twiggs","2890","Twiggs","44","2890",8179,0,0,3517,42,4620
"G1302910","1850","Georgia","130","Union","2910","Union","44","2910",7234,0,0,6955,1,278
"G1302930","1850","Georgia","130","Upson","2930","Upson","44","2930",9424,0,0,4720,0,4704
"G1302950","1850","Georgia","130","Walker","2950","Walker","44","2950",13109,0,0,11408,37,1664
"G1302970","1850","Georgia","130","Walton","2970","Walton","44","2970",10821,0,0,6895,17,3909
"G1302990","1850","Georgia","130","Ware","2990","Ware","44","2990",3888,0,0,3597,3,288
"G1303010","1850","Georgia","130","Warren","3010","Warren","44","3010",12425,0,0,6158,159,6108
"G1303030","1850","Georgia","130","Washington","3030","Washington","44","3030",11766,0,0,5991,37,5738
"G1303050","1850","Georgia","130","Wayne","3050","Wayne","44","3050",1499,0,0,1088,5,406
"G1303170","1850","Georgia","130","Wilkes","3170","Wilkes","44","3170",12107,0,0,3805,21,8281
"G1303190","1850","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",8296,0,0,5551,0,2745
"G1700010","1850","Illinois","170","Adams","0010","Adams","21","10",26508,6902,0,26369,139,0
"G1700030","1850","Illinois","170","Alexander","0030","Alexander","21","30",2484,0,0,2464,20,0
"G1700050","1850","Illinois","170","Bond","0050","Bond","21","50",6144,0,0,6136,8,0
"G1700070","1850","Illinois","170","Boone","0070","Boone","21","70",7624,0,0,7618,6,0
"G1700090","1850","Illinois","170","Brown","0090","Brown","21","90",7198,0,0,7182,16,0
"G1700110","1850","Illinois","170","Bureau","0110","Bureau","21","110",8841,0,0,8831,10,0
"G1700130","1850","Illinois","170","Calhoun","0130","Calhoun","21","130",3231,0,0,3230,1,0
"G1700150","1850","Illinois","170","Carroll","0150","Carroll","21","150",4586,0,0,4583,3,0
"G1700170","1850","Illinois","170","Cass","0170","Cass","21","170",7253,0,0,7248,5,0
"G1700190","1850","Illinois","170","Champaign","0190","Champaign","21","190",2649,0,0,2647,2,0
"G1700210","1850","Illinois","170","Christian","0210","Christian","21","210",3203,0,0,3203,0,0
"G1700230","1850","Illinois","170","Clark","0230","Clark","21","230",9532,0,0,9494,38,0
"G1700250","1850","Illinois","170","Clay","0250","Clay","21","250",4289,0,0,4268,21,0
